id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
3466819,2023-05-11,Yeni tikili,15 / 20,115 m²,3,var,242 000AZN,vasitəçi (agent),"TƏCİLİ ! SATILIR. 3 otaqlı Əla təmirlidir, tam əşyalı satılır. şəhərə və dənizə gözəl mənzərəsi var Xətai park yaşayış kompleksi premium klass binada su qaz işıq daimidir istilik sistemi kombidir binanın geniş həyəti 24 saat mühafizə xidməti uşaqlar və böyüklər üçün nəzərdə tutulmuş idman meydançası istirahət parkı 4 mərtəbəli yerüstü dayanacağı 3 ədəd sürətli lifti var məktəb və uşaq baxçası yaxınlıqda yerləşir dayanacağa yaxındır Çıxarışı var ipoteka yolu ilə almaq istəyənlər də müraciət edə bilər.",210,Xətai r.,Əhmədli q.,,,,,
3204442,2023-05-11,Yeni tikili,6 / 21,155 m²,3,yoxdur,250 000AZN,mülkiyyətçi,"👉 Yasamal rayonu, Moskva prospekti 8
👉 Mənzil 20 yanvar metrosunun yaxınlığı Şamaxinkada ""MAİN MTK"" aiddir
👉 21 mərtəbəli binada 6-cı mərtəbədə sahəsi 155 kvm olan 3 otaqlı mənzil
👉 Təmirdə yüksək kefiyyətli materiallardan istifadə olunub
👉 Otaqlar geniş və işıqlıdır. 2 sanuzel var. Evin pərdələrinə kimi qoyulub. Qaz su və işıq daimidir.
👉 Evin qiyməti 250 000
👉 Ətraflı məlumat ücün əlaqə saxlaya bilərsiniz.
--------------------------------------------------
👉 Московский проспект 8, Ясамальский район.
👉 Квартира принадлежит ""ГЛАВНЫЙ МТК"" в Шамахинке, возле метро 20 Января.
👉 3-комнатная квартира площадью 155 кв.м на 6 этаже 21-этажного дома
👉 В ремонте использовались качественные материалы
👉 Комнаты просторные и светлые. Есть 2 ванные комнаты. Его размещают на шторах дома. Газ вода и свет постоянно.
👉 Цена дома 250 000
👉 Вы можете связаться для получения дополнительной информации.",2005,Yasamal bazarı,İnşaatçılar m.,Yasamal r.,,,,
3304987,2023-05-11,Yeni tikili,10 / 16,70 m²,2,yoxdur,167 000AZN,vasitəçi (agent),"🔷️ Qara Qarayev m/st yaxın
🔷️ 16/10 cu mərtəbəsi
🔷️ Qanuni 2 otaqlı,70m2
🔷️ Tam təmirli
🔷️ Təmirdən sonra yaşayış olmayıb
🔷️ Sənəd Müqavilə
🔷️ Qaz su,işiq daimidir
🔷️ Qiymət 167.000 azn",1192,Qara Qarayev m.,Nizami r.,8-ci kilometr q.,,,,
3481348,2023-05-11,Yeni tikili,6 / 27,120 m²,4,var,300 000AZN,vasitəçi (agent),"•	Butun mebel ve texnikasi ile bir yerde satilir!!!
Yasamal Parki  ve Lider TV yani, yeni tikili elit yasayis kompleksi ""QOŞA PARK"", umumi sahesi 120 kv m olan 3 otaqdan 4 otaga duzelme menzil satilir. Mertebe 27/6, super temir, doseme parket, qurasdirilmis metbex mebeli, qaz, su, isiq daimdir, istilik sistemi kombi. Butun senedler qaydasindadir KUPCA VAR. Binada suretli lift, 24 saat muhafize olunur. Yaxinliqda usaq baxcasi,mekteb, dayanacaq, market ve diger iase xidmeti obyektleri yerlesir. 

•	Продаётся со всей мебель и техникой!!!
Рядом с Ясамальским Парком и Лидер ТВ каналом, в элитной жилом комплексе ""QOŞA PARK"" продаётся 3 – х комнатная квартира переделанная в 4-х комнатную обшей площадью 120 кв м.. Этаж 27/6, отличный ремонт, полы паркет, встроенная кухонная мебель, газ, свет, вода круглосуточная, отопительная система комби. Все документы в порядке ИМЕЕТСЯ КУПЧАЯ. В здании скоростные лифты, охраняется 24 часа. Рядом детский сад, школа, магазины, остановка и тд.. 
",6,Yasamal r.,,,,,,
3387733,2023-05-11,Yeni tikili,18 / 19,99.7 m²,2,var,133 000AZN,vasitəçi (agent)," <<<<<<<<<< SUPER TEKLIF >>>>>>>>>>

Ehmedli mt/s yaxinliginda Pit-Sopun arxasinda 19 mertebeli yeni tikilinin 18 ci mertesinde QANUNI genish 2 otaqli temirli SUPER PONARAMALI menzil satilir !!!

KUPCA var IPOTEKAYA tam yararlidir !

Otaqlarda döşəmə parketdir

Bakı şəhərinin mənzərəsi və panoraması eyvanı olan mətbəxt, 

Sanitar qovşağında ,dəhlizdə,mətbəxtdə və eyvanda isti döşəmədir. 

İstilik sistemi kombidir,su,qaz, işıq 24/7. 

OFIS XIDMET HAQQI 1 %.",237,Əhmədli m.,Xətai r.,Əhmədli q.,,,,
3433472,2023-05-11,Yeni tikili,15 / 16,103 m²,2,var,198 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR.
QAZ  VƏ KUPÇA İLƏ TƏCHİZ OLUNMUŞ YENİ TİKİLİ.
Metro Xətai, “Dəmirçi plaza”-nın yanında yerləşən
16 mərtəbəli yeni tikili binanın 15-ci  mərtəbəsində
2 otaqlı yelçəkən mənzil satılır.
Mənzil təmirsizdir, pod mayak. 
Mənzilin sahəsi 103 kv.m-dir.
Rahatlıqla 3 otaq etmək mümkündür. 
Binanın sürətli liftləri, mühafizə olunan həyəti və s var.

СРОЧНО ПРОДАЕТСЯ!!!
Новостройка с газом и купчей.
Около метро Хатаи , проспект Ходжалы
16-и этажный новостройка 15-й этаж
Продается 2-х комнатная сквозная квартира.
Квартира без ремонта, под маяк. 
Площадь дома 103 кв.м. 
Можно переделать в 3-х комнат.
В здание имеется скоростные лифты, охраняемая территория. ",96,Şah İsmayıl Xətai m.,Xətai r.,,,,,
3481345,2023-05-11,Yeni tikili,11 / 14,88.8 m²,3,yoxdur,144 744AZN,vasitəçi (agent),"Avant Park yaşayış kompleksi böyük marağa sahib oldu və bütün mənzillər çox qısa zamanda satıldı. Alıcıların çoxsaylı sorğularını və istəklərini nəzərə alaraq layihəni Avant Vista fazası ilə genişləndirmək qərarına gəldik. Hər iki layihə bir yerdə 7.3 hektar yaşıllıqlarla əhatə olunmuş sahəni əhatə edəcək.
Yasamal rayonu Abbas Mirzə Şərifzadə 241 (İçtimai TV) nin yaxınlığı.

Mənzillər ağ divarlı təmir təchizatı ilə təhvil veriləcək:
1. Tavan alçıpan
2. Döşəmə laqalar üzərində dikt
3. Santexnika işləri
4. Elektrika işləri
5. Daxili divar səthlərinə astar yaxma
6. Sanitar qovşaqlarında yerdənisitmə sistemi.

Yaşayış kompleksinin daxilində geniş infrastruktur nəzərdə tutulub:
• Geniş və yaşıl həyətlər
• Uşaq meydançası
• Uşaq bağçası
• Qapalı üzgüçülük hovuzu
• Açıq havada idman meydançası
• Spa və fitnes mərkəzi
• Qapalı kinoteatr zalı
• Kompleks daxili velosiped zolaqları
• Alış-veriş mərkəzləri
• Yeraltı avtodayanacaq (1000 yerlik)
• Hər girişdə 2-3 ədəd yüksəksürətli lift
• İctimai iaşə obyektləri

Ödəniş şərtləri:
240 aylıq ipoteka:
- İlkin: 47.000 azn
- Aylıq 1.050 azn

120 aylıq ipoteka:
- İlkin: 31.000 azn
- Aylıq: 1.600 azn

60 aylıq ipoteka:
- İlkin: 47.000 azn
- Aylıq: 2.100 azn

36 aylıq ipoteka:
- İlkin: 47.000 azn
- Aylıq: 3.300 azn

18 aylıq faizsiz hissəvi ödəniş (daxili kredit):
İlkin: 78.000 azn (50%)
Aylıq: 4.250 azn",10,20 Yanvar m.,Yasamal r.,Yasamal q.,,,,
3340269,2023-05-11,Yeni tikili,1 / 5,51 m²,2,var,56 500AZN,vasitəçi (agent),Abşeron rayon Masazır qəsəbəsi Qurtuluş-93 yaşayış kompleksində tam təmirli və çıxarışlı mənzil təcili satılır. Mənzili 1 otaqdan 2 otağa səliqəli şəkildə çeviriblər. Mənzil şəxsi yaşayış məqsədilə təmir olunub. Lakin sonradan iş yerindən uzaq olduğundan satmaq qərarına gəlinib. İnfrastruktur cəhətdən əlverişli yerdədir.,571,Abşeron r.,Masazır q.,,,,,
3340288,2023-05-11,Yeni tikili,5 / 6,71 m²,3,var,70 000AZN,vasitəçi (agent),Abşeron rayon Masazır qəsəbəsi Qurtuluş-93 yaşayış kompleksində tam təmirli və çıxarışlı mənzil təcili satılır. Mənzili 2 otaqdan 3 otağa səliqəli şəkildə çeviriblər. Mənzil şəxsi yaşayış məqsədilə təmir olunub. Lakin sonradan iş yerindən uzaq olduğundan satmaq qərarına gəlinib. İnfrastruktur cəhətdən əlverişli yerdədir.,1516,Abşeron r.,Masazır q.,,,,,
3481343,2023-05-11,Köhnə tikili,9 / 9,70 m²,3,var,163 000AZN,vasitəçi (agent),"Təcili  elmlər metrosunun yani dəyərindən aşağı eksperimental layihədə 2/3 duzleme mənzil satılır menzil Bakı Dövlət universitetinin arxa çıxış qapısı ilə üzbəüz üz binada yerləşir tam merkezde mətbuat prospektinde nəşriyyat ile üzbəüz
Real alıcıya endirim ediləcək 
Ofis haqi 1 faiz təşkil edəcək ",16,Elmlər Akademiyası m.,Hüseyn Cavid parkı,Yasamal r.,Yasamal q.,,,
